Point,X,Y,Z,PixelX,PixelY
B10,-8.179,1.226,26.594,54,560
B12,-8.289,4.123,27.328,52,682
B13,-8.283,5.653,27.431,49,757
B14,-8.238,7.08,27.312,54,810
B15,-8.256,8.501,27.454,61,879
B16,-7.866,9.739,26.589,59,938
B2,-8.279,-10.466,26.065,57,51
B3,-8.404,-9.089,26.195,55,112
B4,-8.245,-7.523,26.044,58,171
B5,-8.265,-6.072,26.583,59,243
B6,-8.285,-4.565,26.558,54,303
B7,-8.357,-3.24,26.861,52,363
B8,-8.17,-1.644,26.415,57,429
B9,-8.137,-0.32,26.511,58,480
C10,-6.81,1.186,26.65,120,556
C12,-6.85,4.039,26.994,117,687
C13,-7.009,5.763,27.974,114,756
C14,-6.702,7.002,26.95,116,816
C15,-6.904,8.681,27.834,124,882
C16,-6.87,10.137,27.647,123,946
C2,-6.877,-10.46,26.087,120,52
C3,-6.852,-9.14,26.358,120,117
C4,-6.942,-7.545,26.374,120,177
C5,-6.711,-5.94,25.975,118,237
C6,-6.849,-4.582,26.639,118,305
C7,-6.685,-3.02,25.945,121,367
C8,-6.71,-1.719,26.303,123,425
C9,-6.68,-0.246,26.51,122,491
D10,-5.578,1.205,26.993,183,557
D12,-5.491,4.099,27.092,179,693
D13,-5.425,5.518,26.951,174,758
D14,-5.357,6.964,26.886,184,815
D15,-5.349,8.295,26.664,179,882
D16,-5.443,9.772,27.062,177,939
D2,-5.559,-10.459,26.082,181,51
D3,-5.563,-9.042,26.129,179,112
D4,-5.638,-7.639,26.485,179,178
D5,-5.724,-6.241,27.408,180,242
D6,-5.592,-4.675,27.048,178,305
D7,-5.306,-3.047,26.043,183,365
D8,-5.417,-1.702,26.672,179,428
D9,-5.308,-0.216,26.126,178,493
E10,-4.171,1.155,26.589,242,555
E12,-3.991,3.989,26.703,240,689
E13,-4.123,5.651,27.442,227,753
E14,-4.175,7.184,27.741,236,819
E15,-3.997,8.334,26.699,239,882
E16,-4.05,10.011,27.386,237,942
E2,-4.278,-10.426,26.118,242,53
E3,-4.321,-9.22,26.684,240,114
E4,-4.079,-7.599,26.213,243,178
E5,-4.162,-6.019,26.469,243,244
E6,-4.086,-4.51,26.398,240,307
E7,-4.095,-3.122,26.788,247,370
E8,-4.175,-1.724,26.84,242,430
E9,-4.097,-0.254,26.76,241,489
F10,-2.708,1.186,27.29,299,558
F12,-2.629,3.982,26.492,303,690
